code,name,manufacturer,tier,group,slug
1135,"ТОРЛАЙТІНГ","Нопосон",econom,"Гербіцид",torlayting-noposon
1136,"ХЕПІ СТАР","Нопосон",econom,"Гербіцид",hepi-star-noposon
1137,"Агрiтокс 50%","Нуфарм",original,"Гербіцид",ahritoks-50-nufarm
1138,"Агрiтокс Турбо","Нуфарм",original,"Гербіцид",ahritoks-turbo-nufarm
1139,"Астрал","Нуфарм",original,"Гербіцид",astral-nufarm
1140,"Декстер","Нуфарм",original,"Гербіцид",dekster-nufarm
1141,"Дiкопур ТОП 464","Нуфарм",original,"Гербіцид",dikopur-top-464-nufarm
1142,"Еквінокс, КС","Нуфарм",original,"Гербіцид",ekvinoks-ks-nufarm
1143,"Естет 905","Нуфарм",original,"Гербіцид",estet-905-nufarm
1144,"Зеагран 350","Нуфарм",original,"Гербіцид",zeahran-350-nufarm
1145,"Інтерцепт","Нуфарм",original,"Гербіцид",intertsept-nufarm
1146,"Квад 150РК","Нуфарм",original,"Гербіцид",kvad-150rk-nufarm
1147,"Клозе 480 КЕ","Нуфарм",original,"Гербіцид",kloze-480-ke-nufarm
1148,"Клiнiк в.р.","Нуфарм",original,"Гербіцид",klinik-v-r-nufarm
1149,"Клiнiк Ікстрим","Нуфарм",original,"Гербіцид",klinik-ikstrym-nufarm
1150,"Клiнiк Макс","Нуфарм",original,"Гербіцид",klinik-maks-nufarm
1151,"Ларс 250, ВГ","Нуфарм",original,"Гербіцид",lars-250-vh-nufarm
1152,"Ларс дельта","Нуфарм",original,"Гербіцид",lars-delta-nufarm
1153,"Ларс Комбі","Нуфарм",original,"Гербіцид",lars-kombi-nufarm
1154,"Марсель","Нуфарм",original,"Гербіцид",marsel-nufarm
1155,"Монітор Плюс","Нуфарм",original,"Гербіцид",monitor-plyus-nufarm
1156,"Селфі","Нуфарм",original,"Гербіцид",selfi-nufarm
1157,"Селфі ОЙЛ","Нуфарм",original,"Гербіцид",selfi-oil-nufarm
1158,"Тейлор","Нуфарм",original,"Гербіцид",teilor-nufarm
1159,"Троллер","Нуфарм",original,"Гербіцид",troller-nufarm
1160,"Тру","Нуфарм",original,"Гербіцид",tru-nufarm
1161,"Філдер, КЕ","Нуфарм",original,"Гербіцид",filder-ke-nufarm
1162,"Флойд, КЕ","Нуфарм",original,"Гербіцид",floid-ke-nufarm
1163,"Агер Форте, КС","Самміт-Агро",original,"Гербіцид",aher-forte-ks-sammit-agro
1164,"Амалгерон Ессенс, РК","Самміт-Агро",original,"Гербіцид",amalheron-essens-rk-sammit-agro
1165,"Амарон, РК","Самміт-Агро",original,"Гербіцид",amaron-rk-sammit-agro
1166,"Асамі, КС","Самміт-Агро",original,"Гербіцид",asami-ks-sammit-agro
1167,"Астрел Макс, СЕ","Самміт-Агро",original,"Гербіцид",astrel-maks-se-sammit-agro
1168,"Бамбу 480, ке","Самміт-Агро",original,"Гербіцид",bambu-480-ke-sammit-agro
1169,"Беструк, РК","Самміт-Агро",original,"Гербіцид",bestruk-rk-sammit-agro
1170,"Біфлай, КС","Самміт-Агро",original,"Гербіцид",biflai-ks-sammit-agro
1171,"Вайс ПРО, КЕ","Самміт-Агро",original,"Гербіцид",vais-pro-ke-sammit-agro
1172,"Дікафлор 440, КЕ","Самміт-Агро",original,"Гербіцид",dikaflor-440-ke-sammit-agro
