Код,Дія,Лист,Виробник,Назва (прайс),Фасовка,Діюча речовина,Норма,Категорія slug,Категорія UA,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Slug (наш),Назва (наша),Фасовка (наша),Tier,№ рядка
1316,existing,"ALFASMARTAGRO","Alfa Smart Agro","Контролер, ЗП","упак. 0,6кг","трифлусульфурон-метил, 500 г/л","0.03",herbitsydy,"Гербіцид",95.7,79.75,87.73,USD,"kontroler-zp-alfa-smart-agro","Контролер, ЗП","упак. 0,6кг",premium,57
1317,existing,"ALFASMARTAGRO","Alfa Smart Agro","Левіас, КЕ","5 л","кломазон, 48 г/л","",herbitsydy,"Гербіцид",10.45,8.71,9.58,USD,"levias-ke-alfa-smart-agro","Левіас, КЕ","5 л",premium,53
1318,existing,"ALFASMARTAGRO","Alfa Smart Agro","Лендінг, КС","20 л","аклоніфен, 600 г/л","",herbitsydy,"Гербіцид",19.8,16.5,18.15,USD,"lendinh-ks-alfa-smart-agro","Лендінг, КС","20 л",premium,54
1319,existing,"ALFASMARTAGRO","Alfa Smart Agro","Лівендор, МЕ","10 л","МЦПА у формі диметиламінної солі, 519,6г/л(у кислотному 400г/л)+ флорасулам, 4г/л + ізоксадифен-етил, 10г/л","",herbitsydy,"Гербіцид",10.33,8.61,9.47,USD,"livendor-me-alfa-smart-agro","Лівендор, МЕ","10 л",premium,55
1320,existing,"ALFASMARTAGRO","Alfa Smart Agro","Лобера, КЕ","5 л","хізалофоп-п-етил, 150 г/л","0,4-1,2",herbitsydy,"Гербіцид",9.9,8.25,9.08,USD,"lobera-ke-alfa-smart-agro","Лобера, КЕ","5 л",premium,58
1321,existing,"ALFASMARTAGRO","Alfa Smart Agro","Містард, ВГ","флакон 0,5 кг","трибенурон-метил, 750 г/кг","0,030-0,050",herbitsydy,"Гербіцид",41.81,34.84,38.32,USD,"mistard-vh-alfa-smart-agro","Містард, ВГ","флакон 0,5 кг",premium,59
1322,existing,"ALFASMARTAGRO","Alfa Smart Agro","Оскар Пауер, МД","10 л","пропізохлор, 610 г/л +  тербутилазин, 290 г/л","",herbitsydy,"Гербіцид",10.66,8.88,9.77,USD,"oskar-pauer-md-alfa-smart-agro","Оскар Пауер, МД","10 л",premium,60
1323,existing,"ALFASMARTAGRO","Alfa Smart Agro","Оскар Преміум, СЕ","10 л","пропізохлор, 450 г/л +  тербутилазин, 215 г/л","3,2-4,0",herbitsydy,"Гербіцид",7.87,6.56,7.22,USD,"oskar-premium-se-alfa-smart-agro","Оскар Преміум, СЕ","10 л",premium,61
1324,existing,"ALFASMARTAGRO","Alfa Smart Agro","Отаман Екстра, РК","20 л","гліфосат кислота 540 г/л (калійна сіль)","1,4-4,0",herbitsydy,"Гербіцид",5.3,4.42,4.86,USD,"otaman-ekstra-rk-alfa-smart-agro","Отаман Екстра, РК","20 л",premium,63
1325,existing,"ALFASMARTAGRO","Alfa Smart Agro","Отаман, РК","20 л","гліфосат кислота, 360 г/л (ізопропіламінна сіль)","2,0-6,0",herbitsydy,"Гербіцид",3.53,2.94,3.23,USD,"otaman-rk-alfa-smart-agro","Отаман, РК","20 л",premium,62
1326,existing,"ALFASMARTAGRO","Alfa Smart Agro","Рамзес, ВГ","флакон 0,5кг","римсульфурон, 250 г/к","0,04-0,05",herbitsydy,"Гербіцид",92.94,77.45,85.2,USD,"ramzes-vh-alfa-smart-agro","Рамзес, ВГ","флакон 0,5кг",premium,64
1327,existing,"ALFASMARTAGRO","Alfa Smart Agro","Сантал, РК","10 л","імазамокс, 33 г/л +  імазапір, 15 г/л","1,0-1,2",herbitsydy,"Гербіцид",16.5,13.75,15.13,USD,"santal-rk-alfa-smart-agro","Сантал, РК","10 л",premium,66
1328,existing,"ALFASMARTAGRO","Alfa Smart Agro","Сігур, ВГ + ПАР Омега Плюс","флакон 0,5 кг + каністра 1 л","мезотріон 515 г/кг + нікосульфурон 200 г/кг + римсульфурон 35 г/кг","0,2-0,3",herbitsydy,"Гербіцид",73.15,60.96,67.06,USD,"sihur-vh-par-omeha-plyus-alfa-smart-agro","Сігур, ВГ + ПАР Омега Плюс","флакон 0,5 кг + каністра 1 л",premium,67
1329,existing,"ALFASMARTAGRO","Alfa Smart Agro","Сокар, РК","20 л","гліфосат кислота, 436 г/л (амонійна сіль)","2,0-5,0",herbitsydy,"Гербіцид",4.5,3.75,4.13,USD,"sokar-rk-alfa-smart-agro","Сокар, РК","20 л",premium,65
1330,existing,"ALFASMARTAGRO","Alfa Smart Agro","Тейп Екстра, КС","20 л","Тербутилазин, 187,5 г/л+ S-метолахлор, 312,5 г/л","",herbitsydy,"Гербіцид",5.32,4.43,4.87,USD,"teip-ekstra-ks-alfa-smart-agro","Тейп Екстра, КС","20 л",premium,68
1331,existing,"ALFASMARTAGRO","Alfa Smart Agro","Триатлон Прайм, ВГ","флакон 0,5кг","тифенсульфурон-метил, 250 г/кг + трибенурон-метил, 250 г/кг + флорасулам, 100 г/кг+ антидот ізоксадифен-етил, 100г/кг","",herbitsydy,"Гербіцид",109.98,91.65,100.82,USD,"tryatlon-praim-vh-alfa-smart-agro","Триатлон Прайм, ВГ","флакон 0,5кг",premium,70
1332,existing,"ALFASMARTAGRO","Alfa Smart Agro","Триатлон, ВГ","флакон 0,5кг","тифенсульфурон-метил, 300 г/кг + трибенурон-метил, 300 г/кг + флорасулам, 100 г/кг","0,03-0,05",herbitsydy,"Гербіцид",109.99,91.66,100.83,USD,"tryatlon-vh-alfa-smart-agro","Триатлон, ВГ","флакон 0,5кг",premium,69
1333,existing,"ALFASMARTAGRO","Alfa Smart Agro","Тривіум, ВГ  + ПАР Бустер","флакон 0,5 кг + 2 каністри по 1 л","Римсульфурон, 250 г/кг + тифенсульфуронметил, 150 г/кг + флорасулам, 80 г/кг","0,04-0,05",herbitsydy,"Гербіцид",88.01,73.34,80.67,USD,"tryvium-vh-par-buster-alfa-smart-agro","Тривіум, ВГ + ПАР Бустер","флакон 0,5 кг + 2 каністри по 1 л",premium,71
1334,existing,"ALFASMARTAGRO","Alfa Smart Agro","Хаммер Дуо, СЕ","5 л","2-етилгексиловий ефір  2,4 Д, 491,5 г/л +  флорасулам, 8,5 г/л","0,3-0,5",herbitsydy,"Гербіцид",7.15,5.96,6.56,USD,"khammer-duo-se-alfa-smart-agro","Хаммер Дуо, СЕ","5 л",premium,73
1335,existing,"ALFASMARTAGRO","Alfa Smart Agro","Хаммер, ВГ","флакон 0,5кг","флорасулам, 250 г/кг","0,02-0,025",herbitsydy,"Гербіцид",87.89,73.24,80.56,USD,"khammer-vh-alfa-smart-agro","Хаммер, ВГ","флакон 0,5кг",premium,72
1336,existing,"ALFASMARTAGRO","Alfa Smart Agro","Юкон, КС","20 л","Тербутилазин, 500 г/л","",herbitsydy,"Гербіцид",5.35,4.46,4.91,USD,"yukon-ks-alfa-smart-agro","Юкон, КС","20 л",premium,74
1337,existing,"Himagro","Himagro","ТОТАЛ К, ВР","20 л","калійна сіль гліфосату, 625 г/л в кислому еквіваленті 500  г/л","1,5 - 4,0",herbitsydy,"Гербіцид",5.06,4.22,4.64,USD,"total-k-vr-himagro","ТОТАЛ К, ВР","20 л",econom,82
1338,existing,"Himagro","Himagro","ТОТАЛ, РК","20 л","сіль гліфосату, 480 г/л в кислому еквіваленті 360 г/л","2,0 - 6,0",herbitsydy,"Гербіцид",3.62,3.02,3.32,USD,"total-rk-himagro","ТОТАЛ, РК","20 л",econom,78
1340,existing,"PEST.UA","PEST.UA","Берген, РК","20 л","Тербутилазин, 500 г/л","1,5-3,0",herbitsydy,"Гербіцид",5.12,4.26,4.69,USD,"berhen-rk-pest-ua","Берген, РК","20 л",econom,8
1341,existing,"PEST.UA","PEST.UA","Мигель, КС","5 л","нікосульфурон, 40 г/л","1-1,25",herbitsydy,"Гербіцид",5.27,4.39,4.83,USD,"myhel-ks-pest-ua","Мигель, КС","5 л",econom,20
