Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1200,existing,"Баундари 777,5","Сингента","4*5л","5 л","Гербiциди",23.47,19.56,21.52,USD,"Баундари 777,5","5 л",original,"Гербіцид","baundary-777-5-synhenta",333
1201,existing,"Бороплюс","Сингента","20*1л","1 л","Мікродобриво",10.01,8.34,9.17,USD,"Бороплюс","1 л",original,"Гербіцид","boroplyus-synhenta",362
1202,existing,"Брексіл МІКС ZN","Сингента","4*5л","5 л","Мікродобриво",11.74,9.78,10.76,USD,"Брексіл МІКС ZN","5 л",original,"Гербіцид","breksil-miks-zn-synhenta",361
1203,existing,"Брексіл ZN","Сингента","4*5л","5 л","Мікродобриво",7.66,6.38,7.02,USD,"Брексіл ZN","5 л",original,"Гербіцид","breksil-zn-synhenta",360
1204,existing,"Гезагард 500FW","Сингента","4*5л","5 л","Гербiциди",11.75,9.79,10.77,USD,"Гезагард 500FW","5 л",original,"Гербіцид","hezahard-500fw-synhenta",342
1205,existing,"Дербi 175 SC","Сингента","20*500мл","500 мл","Гербiциди",161.25,134.38,147.82,USD,"Дербi 175 SC","500 мл",original,"Гербіцид","derbi-175-sc-synhenta",336
1207,existing,"Дiален супер 464SL","Сингента","2*10л","10 л","Гербiциди",14.3,11.92,13.11,USD,"Дiален супер 464SL","10 л",original,"Гербіцид","dialen-super-464sl-synhenta",337
1208,existing,"Еллюмiс 105 OD","Сингента","1*20л","20 л","Гербiциди",31.1,25.92,28.51,USD,"Еллюмiс 105 OD","20 л",original,"Гербіцид","ellyumis-105-od-synhenta",339
1209,existing,"Каптора 20л","Сингента","20л","20 л","Гербiциди",45.79,38.16,41.98,USD,"Каптора 20л","20 л",original,"Гербіцид","kaptora-20l-synhenta",334
1210,existing,"Каптора PLUS","Сингента","2*10л","10 л","Гербiциди",25.88,21.56,23.72,USD,"Каптора PLUS","10 л",original,"Гербіцид","kaptora-plus-synhenta",335
1211,existing,"Логран 75WG","Сингента","10*0,12кг","0.12 кг","Гербiциди",280.44,233.7,257.07,USD,"Логран 75WG","0.12 кг",original,"Гербіцид","lohran-75wg-synhenta",343
1212,existing,"Лонтрел Гранд","Сингента","4*2кг","2 кг","Гербiциди",199.28,166.07,182.68,USD,"Лонтрел Гранд","2 кг",original,"Гербіцид","lontrel-hrand-synhenta",345
1213,existing,"Люмакс 537,5SE","Сингента","20л","20 л","Гербiциди",15.78,13.15,14.47,USD,"Люмакс 537,5SE","20 л",original,"Гербіцид","lyumaks-537-5se-synhenta",344
1214,existing,"Мілагро 040SC","Сингента","4*5л","5 л","Гербiциди",19.3,16.08,17.69,USD,"Мілагро 040SC","5 л",original,"Гербіцид","milahro-040sc-synhenta",346
1215,existing,"Моддус STAR 500 DС","Сингента","4*5л","5 л","Ретардант",59.95,49.96,54.96,USD,"Моддус STAR 500 DС","5 л",original,"Гербіцид","moddus-star-500-ds-synhenta",292
1216,existing,"Прiмекстра Голд 720","Сингента","1*20л","20 л","Гербiциди",14.03,11.69,12.86,USD,"Прiмекстра Голд 720","20 л",original,"Гербіцид","primekstra-hold-720-synhenta",349
1217,existing,"Прiмекстра TZ Голд 500SC","Сингента","1*20л","20 л","Гербiциди",11.81,9.84,10.82,USD,"Прiмекстра TZ Голд 500SC","20 л",original,"Гербіцид","primekstra-tz-hold-500sc-synhenta",350
1219,existing,"Рейкер Екстра 60 OD","Сингента","1*20л","20 л","Гербiциди",44.6,37.16,40.88,USD,"Рейкер Екстра 60 OD","20 л",original,"Гербіцид","reiker-ekstra-60-od-synhenta",351
1220,existing,"Сeтар 375 SC","Сингента","4*5л","5 л","Ретардант",67.2,56,61.6,USD,"Сeтар 375 SC","5 л",original,"Гербіцид","setar-375-sc-synhenta",293
