Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1354,new-sku,"Апріорі ВГ+Адгейзі (1:6)","Адама","1кг+5л","1кг+5л","Гербiциди",147.55,122.96,135.26,USD,"","",,"","",19
1355,new-packaging,"Мiстраль ВГ","Адама","4*5кг","5 кг","Гербiциди",29.5,24.59,27.05,USD,"Мiстраль ВГ","1 кг",original,"Гербіцид","mistral-vh-adama",32
1356,new-packaging,"Пендiган KC","Адама","2*10л","10 л","Гербiциди",12.05,10.04,11.04,USD,"Пендiган KC","1 л",original,"Гербіцид","pendihan-kc-adama",36
1357,new-packaging,"Султан КС","Адама","4*5л","5 л","Гербiциди",24.62,20.52,22.57,USD,"Султан КС","1 л",original,"Гербіцид","sultan-ks-adama",40
1358,new-packaging,"Тiтус","Кортева","10*500гр","10*500гр","Гербiциди",619.2,516,567.6,USD,"Тiтус","500гр",original,"Гербіцид","titus-korteva",174
1359,new-packaging,"Тiтус Екстра","Кортева","10*250гр","10*250гр","Гербiциди",302.69,252.24,277.46,USD,"Тiтус Екстра","250гр",original,"Гербіцид","titus-ekstra-korteva",175
1360,new-sku,"Селект","UPL","5 л","5 л","Гербіциди",23.18,19.32,21.25,USD,"","",,"","",209
1361,new-packaging,"Експрес 75 в.г","ФМС","10*500гр","10*500гр","Гербiциди",234.24,195.2,214.72,USD,"Експрес 75 в.г","500гр",original,"Гербіцид","ekspres-75-v-h-fms",225
1362,new-packaging,"Експрес Голд","ФМС","10*350гр","10*350гр","Гербiциди",216.88,180.73,198.8,USD,"Експрес Голд","350гр",original,"Гербіцид","ekspres-hold-fms",226
1363,new-packaging,"Еллай супер","ФМС","10*150гр","10*150гр","Гербiциди",462.18,385.15,423.67,USD,"Еллай супер","150гр",original,"Гербіцид","ellai-super-fms",227
1364,new-packaging,"Карiбу 50% з.п","ФМС","10*600гр","10*600гр","Гербiциди",478.63,398.86,438.75,USD,"Карiбу 50% з.п","600гр",original,"Гербіцид","karibu-50-z-p-fms",233
1365,new-packaging (fuzzy),"Сальса 75","ФМС","0,25кг","0.25 кг","Гербiциди",672.7,560.58,616.64,USD,"Сальса","0,25 кг",original,"Гербіцид","salsa-korteva",246
1366,new-packaging,"Хармонi","ФМС","10*100гр","10*100гр","Гербiциди",436.46,363.72,400.09,USD,"Хармонi","100гр",original,"Гербіцид","kharmoni-fms",252
1367,new-packaging,"Дуал голд 960","Сингента","4*5л","5 л","Гербiциди",16.69,13.91,15.3,USD,"Дуал Голд 960 EC","20 л",original,"Гербіцид","dual-hold-960-ec-synhenta",338
1368,new-packaging,"ПIК 75WG","Сингента","20*100гр","20*100гр","Гербiциди",735.31,612.76,674.04,USD,"ПIК 75WG","100гр",original,"Гербіцид","pik-75wg-synhenta",347
1369,new-sku,"Прiма Форте","Сингента","4*5л","5 л","Гербiциди",18,15,16.5,USD,"","",,"","",348
1370,new-packaging,"Бороплюс","Сингента","2*10л","10 л","Мікродобриво",9.33,7.78,8.56,USD,"Бороплюс","1 л",original,"Гербіцид","boroplyus-synhenta",363
1371,new-packaging (fuzzy),"Астрал Комбі","Нуфарм","40гр+100г/л","40гр+100г/л","Гербiциди",272.71,227.26,249.99,USD,"Астрал","5 л",original,"Гербіцид","astral-nufarm",421
1372,new-sku,"Бромцид","Нуфарм","4*5л","5 л","Гербiциди",29.38,24.48,26.93,USD,"","",,"","",422
1373,new-packaging,"Еквінокс, КС","Нуфарм","12*1л","1 л","Гербiциди",11.43,9.53,10.48,USD,"Еквінокс, КС","5 л",original,"Гербіцид","ekvinoks-ks-nufarm",428
1374,new-packaging,"Амалгерон Ессенс, РК","Самміт-Агро","10*1 флакон","10*1 флакон","Біопродукт",16.85,14.04,15.44,USD,"Амалгерон Ессенс, РК","1флакон",original,"Гербіцид","amalheron-essens-rk-sammit-agro",544
1375,new-packaging,"Амалгерон Ессенс, РК","Самміт-Агро","15л","15 л","Біопродукт",14.77,12.31,13.54,USD,"Амалгерон Ессенс, РК","1флакон",original,"Гербіцид","amalheron-essens-rk-sammit-agro",545
1376,new-sku,"Енцера, ВГ","Самміт-Агро","16*200гр","16*200гр","Біопродукт",2157.41,1797.84,1977.62,USD,"","",,"","",548
1377,new-sku,"Енцера, ВГ","Самміт-Агро","10*50гр","10*50гр","Біопродукт",2161.73,1801.44,1981.58,USD,"","",,"","",549
2001,existing,"Бампер супер KE","Адама","4*5л","5 л","Фунгiцид",20.92,17.43,19.17,USD,"Бампер супер KE","5 л",original,"Фунгіцид","bamper-super-ke-adama",59
2002,existing,"Бампер KE","Адама","12*1л","1 л","Фунгiцид",17.88,14.9,16.39,USD,"Бампер KE","1 л",original,"Фунгіцид","bamper-ke-adama",58
2003,existing,"Банджо КС","Адама","12*1л","1 л","Фунгiцид",99.83,83.19,91.51,USD,"Банджо КС","1 л",original,"Фунгіцид","bandzho-ks-adama",60
2004,existing,"Банджо Форте КС","Адама","4*5л","5 л","Фунгiцид",44.19,36.82,40.5,USD,"Банджо Форте КС","5 л",original,"Фунгіцид","bandzho-forte-ks-adama",61
2005,existing,"Бенелус КЕ","Адама","12*1л","1 л","Фунгiцид",36.51,30.43,33.47,USD,"Бенелус КЕ","1 л",original,"Фунгіцид","benelus-ke-adama",62
2006,existing,"Кустодія КС","Адама","4*1л","1 л","Фунгiцид",28.95,24.13,26.54,USD,"Кустодія КС","1 л",original,"Фунгіцид","kustodiya-ks-adama",64
2007,existing,"Лiндер KC","Адама","4*5л","5 л","Фунгiцид",33.53,27.95,30.75,USD,"Лiндер KC","5 л",original,"Фунгіцид","linder-kc-adama",66
2008,existing,"Максентіс КС","Адама","5л","5 л","Фунгiцид",38.34,31.95,35.15,USD,"Максентіс КС","5 л",original,"Фунгіцид","maksentis-ks-adama",70
2009,existing,"Меганік КЕ","Адама","5л","5 л","Фунгiцид",39.87,33.22,36.54,USD,"Меганік КЕ","5 л",original,"Фунгіцид","mehanik-ke-adama",69
2010,existing,"Мерпан Платинум ВГ","Адама","1кг","1 кг","Фунгiцид",16.96,14.13,15.54,USD,"Мерпан Платинум ВГ","1 кг",original,"Фунгіцид","merpan-platynum-vh-adama",67
2011,existing,"Орiус EB","Адама","4*5л","5 л","Фунгiцид",14.09,11.74,12.91,USD,"Орiус EB","5 л",original,"Фунгіцид","orius-eb-adama",71
2012,existing,"Супрiм EB","Адама","4*5л","5 л","Фунгiцид",20.87,17.39,19.13,USD,"Супрiм EB","5 л",original,"Фунгіцид","suprim-eb-adama",72
2013,existing,"Сфiнкс Eкстра  ВГ","Адама","1кг","1 кг","Фунгiцид",22.49,18.75,20.63,USD,"Сфiнкс Eкстра  ВГ","1 кг",original,"Фунгіцид","sfinks-ekstra-vh-adama",73
2014,existing,"Фольпан Голд WG","Адама","1кг","1 кг","Фунгiцид",23.25,19.38,21.32,USD,"Фольпан Голд WG","1 кг",original,"Фунгіцид","folpan-hold-wg-adama",75
2015,existing,"Фольпан WG","Адама","4*5 кг","5 кг","Фунгiцид",17.53,14.61,16.07,USD,"Фольпан WG","5 кг",original,"Фунгіцид","folpan-wg-adama",77
2016,existing,"Авiатор ХPRO 225 ЕС, КЕ","Байер","4*5л","5 л","Фунгiцид",60.96,50.8,55.88,USD,"Авiатор ХPRO 225 ЕС, КЕ","5 л",original,"Фунгіцид","aviator-khpro-225-es-ke-baier",509
2017,existing,"Альєтт 80 WP, ЗП","Байер","10*1кг","1 кг","Фунгiцид",30.12,25.1,27.61,USD,"Альєтт 80 WP, ЗП","1 кг",original,"Фунгіцид","alyett-80-wp-zp-baier",510
2018,existing,"Антракол 70 WG, ВГ","Байер","1*10кг","10 кг","Фунгiцид",19.96,16.63,18.29,USD,"Антракол 70 WG, ВГ","10 кг",original,"Фунгіцид","antrakol-70-wg-vh-baier",511
2019,existing,"Деларо Форте 280 ЕС","Байер","4*5л","5 л","Фунгiцид",34.55,28.79,31.67,USD,"Деларо Форте 280 ЕС","5 л",original,"Фунгіцид","delaro-forte-280-es-baier",467
2020,existing,"Інпут Класік","Байер","4*5л","5 л","Фунгiцид",36.94,30.78,33.86,USD,"Інпут Класік","5 л",original,"Фунгіцид","input-klasik-baier",512
2021,existing,"Інфiнiто 61SC, 687,5, КС","Байер","4*5л","5 л","Фунгiцид",37.05,30.88,33.97,USD,"Інфiнiто 61SC, 687,5, КС","5 л",original,"Фунгіцид","infinito-61sc-687-5-ks-baier",513
2022,existing,"Камбаліо Прайм 20","Байер","5л","5 л","Фунгiцид",31.8,26.5,29.15,USD,"Камбаліо Прайм 20","5 л",original,"Фунгіцид","kambalio-praim-20-baier",470
2023,existing,"Камбаліо Смарт 230","Байер","5л","5 л","Фунгiцид",129.2,107.66,118.43,USD,"Камбаліо Смарт 230","5 л",original,"Фунгіцид","kambalio-smart-230-baier",471
2024,existing,"Каюніс32 5ЕС","Байер","5л","5 л","Фунгiцид",51.15,42.62,46.88,USD,"Каюніс32 5ЕС","5 л",original,"Фунгіцид","kayunis32-5es-baier",472
2025,existing,"Луна  Сенсейшн 500 SC, КС","Байер","12*1л","1 л","Фунгiцид",179.4,149.5,164.45,USD,"Луна  Сенсейшн 500 SC, КС","1 л",original,"Фунгіцид","luna-senseishn-500-sc-ks-baier",514
2026,existing,"Луна Кер 71,6 WG, ВГ","Байер","10*1кг","1 кг","Фунгiцид",37.77,31.48,34.63,USD,"Луна Кер 71,6 WG, ВГ","1 кг",original,"Фунгіцид","luna-ker-71-6-wg-vh-baier",515
2027,existing,"Луна Экспiрiенс 400 SC, КС","Байер","12*1л","1 л","Фунгiцид",123.22,102.68,112.95,USD,"Луна Экспiрiенс 400 SC, КС","1 л",original,"Фунгіцид","luna-ekspiriens-400-sc-ks-baier",516
2028,existing,"Медiсон 263SC, КС","Байер","4*5л","5 л","Фунгiцид",36.94,30.78,33.86,USD,"Медiсон 263SC, КС","5 л",original,"Фунгіцид","medison-263sc-ks-baier",484
2029,existing,"Натiво 75 WG, ВГ","Байер","4*2кг","2 кг","Фунгiцид",123.47,102.89,113.18,USD,"Натiво 75 WG, ВГ","2 кг",original,"Фунгіцид","nativo-75-wg-vh-baier",491
2030,existing,"Превiкур Енерджі 840SL, РК","Байер","4*5л","5 л","Фунгiцид",45.3,37.75,41.53,USD,"Превiкур Енерджі 840SL, РК","5 л",original,"Фунгіцид","previkur-enerdzhi-840sl-rk-baier",493
2031,existing,"Пропульс 250SE, СЕ","Байер","4*5л","5 л","Фунгiцид",60.36,50.3,55.33,USD,"Пропульс 250SE, СЕ","5 л",original,"Фунгіцид","propuls-250se-se-baier",494
2032,existing,"Серенада ACO SC, КС","Байер","2*10л","10 л","Фунгiцид",14.82,12.35,13.59,USD,"Серенада ACO SC, КС","10 л",original,"Фунгіцид","serenada-aco-sc-ks-baier",499
2033,existing,"Скала 400SC, КС","Байер","4*3л","3 л","Фунгiцид",37.05,30.88,33.97,USD,"Скала 400SC, КС","3 л",original,"Фунгіцид","skala-400sc-ks-baier",502
2034,existing,"Солiгор 425 EC, КЕ","Байер","4*5л","5 л","Фунгiцид",29.76,24.8,27.28,USD,"Солiгор 425 EC, КЕ","5 л",original,"Фунгіцид","solihor-425-ec-ke-baier",503
2035,existing,"Тельдор 50WG, ВГ","Байер","4*5кг","5 кг","Фунгiцид",94.54,78.78,86.66,USD,"Тельдор 50WG, ВГ","5 кг",original,"Фунгіцид","teldor-50wg-vh-baier",505
2036,existing,"Тiлмор 240 ЕС, КЕ","Байер","4*5л","5 л","Фунгiцид",32.52,27.1,29.81,USD,"Тiлмор 240 ЕС, КЕ","5 л",original,"Фунгіцид","tilmor-240-es-ke-baier",504
2037,existing (fuzzy),"Фалькон 460ЕС, КЕ","Байер","4*5л","5 л","Фунгiцид",35.27,29.39,32.33,USD,"Фалькон 460 EC","5 л",original,"Фунгіцид","falkon-460-ec-baier",517
2038,existing,"Фанданго 200ЕС, ке","Байер","4*5л","5 л","Фунгiцид",78.88,65.74,72.31,USD,"Фанданго 200ЕС, ке","5 л",original,"Фунгіцид","fandanho-200es-ke-baier",518
2039,existing,"Флiнт 50, КС","Байер","0,5л","0.5 л","Фунгiцид",238.56,198.8,218.68,USD,"Флiнт 50, КС","0.5 л",original,"Фунгіцид","flint-50-ks-baier",520
2040,existing,"Фокс 325SC, КС","Байер","4*5л","5 л","Фунгiцид",57.01,47.51,52.26,USD,"Фокс 325SC, КС","5 л",original,"Фунгіцид","foks-325sc-ks-baier",521
2041,existing,"Фолiкур 250EW, ЕВ","Байер","4*5л","5 л","Фунгiцид",25.82,21.52,23.67,USD,"Фолiкур 250EW, ЕВ","5 л",original,"Фунгіцид","folikur-250ew-ev-baier",522
2042,existing,"Абакус","Басф","2*10л","10 л","Фунгiцид",18.84,15.7,17.27,USD,"Абакус","10 л",original,"Фунгіцид","abakus-basf",105
2044,existing,"Акріс, СЕ","Басф","2*10л","10 л","Фунгiцид",23.26,19.38,21.32,USD,"Акріс, СЕ","10 л",original,"Фунгіцид","akris-se-basf",107
2045,existing,"Акробат МЦ","Басф","10*1кг","1 кг","Фунгiцид",19.67,16.39,18.03,USD,"Акробат МЦ","1 кг",original,"Фунгіцид","akrobat-mts-basf",108
2046,existing,"Альтерно","Басф","4*5л","5 л","Фунгiцид",49.93,41.61,45.77,USD,"Альтерно","5 л",original,"Фунгіцид","alterno-basf",109
2047,existing,"Архітект, СЕ","Басф","2*10л","10 л","Фунгiцид",30.48,25.4,27.94,USD,"Архітект, СЕ","10 л",original,"Фунгіцид","arkhitekt-se-basf",110
2048,existing,"Белліс, ВГ","Басф","10*1кг","1 кг","Фунгiцид",67.96,56.63,62.29,USD,"Белліс, ВГ","1 кг",original,"Фунгіцид","bellis-vh-basf",129
2049,existing,"Даксур, КС","Басф","4*5л","5 л","Фунгiцид",33.07,27.56,30.32,USD,"Даксур, КС","5 л",original,"Фунгіцид","daksur-ks-basf",111
2050,existing,"Делан","Басф","10*1кг","1 кг","Фунгiцид",69.61,58.01,63.81,USD,"Делан","1 кг",original,"Фунгіцид","delan-basf",112
2051,existing,"Кабрiо Дуо","Басф","10*1л","1 л","Фунгiцид",27.35,22.79,25.07,USD,"Кабрiо Дуо","1 л",original,"Фунгіцид","kabrio-duo-basf",113
2052,existing (fuzzy),"Капало Про","Басф","4*5л","5 л","Фунгiцид",41.68,34.73,38.2,USD,"Капало","5 л",original,"Фунгіцид","kapalo-basf",114
2054,existing,"Колліс","Басф","10*1л","1 л","Фунгiцид",51.67,43.06,47.37,USD,"Колліс","1 л",original,"Фунгіцид","kollis-basf",130
2055,existing,"Кумулюс ДФ","Басф","20кг","20 кг","Фунгiцид",3.01,2.51,2.76,USD,"Кумулюс ДФ","20 кг",original,"Фунгіцид","kumulyus-df-basf",94
2056,existing,"Малахiт","Басф","4*5л","5 л","Фунгiцид",49.48,41.23,45.35,USD,"Малахiт","5 л",original,"Фунгіцид","malakhit-basf",115
2057,existing,"Орвего,кс","Басф","10*1л","1 л","Фунгiцид",49.15,40.96,45.06,USD,"Орвего,кс","1 л",original,"Фунгіцид","orveho-ks-basf",116
2058,existing,"Осiрiс Про, КЕ","Басф","2*10л","10 л","Фунгiцид",28.57,23.81,26.19,USD,"Осiрiс Про, КЕ","10 л",original,"Фунгіцид","osiris-pro-ke-basf",117
2059,existing,"Полiрам ДФ","Басф","1*10кг","10 кг","Фунгiцид",14.51,12.09,13.3,USD,"Полiрам ДФ","10 кг",original,"Фунгіцид","poliram-df-basf",120
2060,existing,"Пріаксор","Басф","4*5л","5 л","Фунгiцид",57.96,48.3,53.13,USD,"Пріаксор","5 л",original,"Фунгіцид","priaksor-basf",131
2061,existing,"Пiктор ТОП, КС","Басф","4*5л","5 л","Фунгiцид",49.38,41.15,45.27,USD,"Пiктор ТОП, КС","5 л",original,"Фунгіцид","piktor-top-ks-basf",119
2062,existing,"Пiктор, КС","Басф","4*5л","5 л","Фунгiцид",91.18,75.98,83.58,USD,"Пiктор, КС","5 л",original,"Фунгіцид","piktor-ks-basf",118
2063,existing,"Ревікер, КЕ","Басф","10л","10 л","Фунгiцид",40.34,33.62,36.98,USD,"Ревікер, КЕ","10 л",original,"Фунгіцид","reviker-ke-basf",132
2064,existing,"Ревіона","Басф","1л","1 л","Фунгiцид",21.4,17.83,19.61,USD,"Ревіона","1 л",original,"Фунгіцид","reviona-basf",133
2065,existing,"Рекс Дуо, КС","Басф","2*10л","10 л","Фунгiцид",32.28,26.9,29.59,USD,"Рекс Дуо, КС","10 л",original,"Фунгіцид","reks-duo-ks-basf",121
2066,existing,"Рекс Плюс, СЕ","Басф","2*10л","10 л","Фунгiцид",20.03,16.69,18.36,USD,"Рекс Плюс, СЕ","10 л",original,"Фунгіцид","reks-plyus-se-basf",122
2067,existing,"Рекс Про, СЕ","Басф","4*5л","5 л","Фунгiцид",33.37,27.81,30.59,USD,"Рекс Про, СЕ","5 л",original,"Фунгіцид","reks-pro-se-basf",123
2068,existing,"Серкадіс","Басф","12*1л","1 л","Фунгiцид",132.24,110.2,121.22,USD,"Серкадіс","1 л",original,"Фунгіцид","serkadis-basf",125
2069,existing,"Серкадіс Плюс","Басф","2*10л","10 л","Фунгiцид",52.96,44.13,48.54,USD,"Серкадіс Плюс","10 л",original,"Фунгіцид","serkadis-plyus-basf",126
2071,existing,"Сiгнум","Басф","10*1кг","1 кг","Фунгiцид",73.48,61.23,67.35,USD,"Сiгнум","1 кг",original,"Фунгіцид","sihnum-basf",124
2072,existing,"Флексiтi","Басф","10*1л","1 л","Фунгiцид",72.53,60.44,66.48,USD,"Флексiтi","1 л",original,"Фунгіцид","fleksiti-basf",128
2073,existing,"Абсолют","Дефенда","4*5л","5 л","Фунгiцид",6.95,5.79,6.37,USD,"Абсолют","5 л",original,"Фунгіцид","absolyut-defenda",603
2074,existing,"Дот","Дефенда","4*5л","5 л","Фунгiцид",14.4,12,13.2,USD,"Дот","5 л",original,"Фунгіцид","dot-defenda",623
2075,existing,"Камзол","Дефенда","4*5л","5 л","Фунгiцид",22.8,19,20.9,USD,"Камзол","5 л",original,"Фунгіцид","kamzol-defenda",631
2076,existing,"Камзол Турбо","Дефенда","4*5л","5 л","Фунгiцид",28,23.33,25.66,USD,"Камзол Турбо","5 л",original,"Фунгіцид","kamzol-turbo-defenda",632
2077,existing,"Кітч","Дефенда","4*5л","5 л","Фунгiцид",75,62.5,68.75,USD,"Кітч","5 л",original,"Фунгіцид","kitch-defenda",633
2078,existing,"Меценат","Дефенда","4*5л","5 л","Фунгiцид",9.5,7.92,8.71,USD,"Меценат","5 л",original,"Фунгіцид","metsenat-defenda",641
2079,existing,"Парацельс","Дефенда","4*5л","5 л","Фунгiцид",11.5,9.58,10.54,USD,"Парацельс","5 л",original,"Фунгіцид","paratsels-defenda",650
2080,existing,"Пегас","Дефенда","4*5л","5 л","Фунгiцид",11.4,9.5,10.45,USD,"Пегас","5 л",original,"Фунгіцид","pehas-defenda",651
2081,existing,"Сальто","Дефенда","4*5л","5 л","Фунгiцид",9,7.5,8.25,USD,"Сальто","5 л",original,"Фунгіцид","salto-defenda",659
2082,existing,"Спліт","Дефенда","4*5л","5 л","Фунгiцид",19,15.83,17.41,USD,"Спліт","5 л",original,"Фунгіцид","split-defenda",664
2083,existing,"Спліт Дуо","Дефенда","4*5л","5 л","Фунгiцид",15.5,12.92,14.21,USD,"Спліт Дуо","5 л",original,"Фунгіцид","split-duo-defenda",665
2084,existing,"Старк","Дефенда","4*5л","5 л","Фунгiцид",13.2,11,12.1,USD,"Старк","5 л",original,"Фунгіцид","stark-defenda",666
2085,existing,"Талер","Дефенда","4*5л","5 л","Фунгiцид",8.8,7.33,8.06,USD,"Талер","5 л",original,"Фунгіцид","taler-defenda",670
2086,existing,"Ультралін","Дефенда","20*1кг","1 кг","Фунгiцид",26.8,22.33,24.56,USD,"Ультралін","1 кг",original,"Фунгіцид","ultralin-defenda",674
2087,existing (fuzzy),"Аканто плюс 28 SC","Кортева","4*5л","5 л","Фунгiцид",43.92,36.6,40.26,USD,"Аканто Плюс","5 л",original,"Фунгіцид","akanto-plyus-korteva",177
2088,existing,"Вербен, КЕ","Кортева","4*5л","5 л","Фунгiцид",47,39.17,43.09,USD,"Вербен, КЕ","5 л",original,"Фунгіцид","verben-ke-korteva",179
2089,existing,"Віован, КЕ","Кортева","4*5л","5 л","Фунгiцид",45.53,37.94,41.73,USD,"Віован, КЕ","5 л",original,"Фунгіцид","viovan-ke-korteva",180
2090,existing,"Дітан М-45","Кортева","25кг","25 кг","Фунгiцид",11.52,9.6,10.56,USD,"Дітан М-45","25 кг",original,"Фунгіцид","ditan-m-45-korteva",181
2091,existing,"Зорвекс Вінабрія","Кортева","12*1л","1 л","Фунгiцид",28.08,23.4,25.74,USD,"Зорвекс Вінабрія","1 л",original,"Фунгіцид","zorveks-vinabriya-korteva",182
2092,existing,"Зорвекс Інкантія","Кортева","12*1л","1 л","Фунгiцид",105.74,88.12,96.93,USD,"Зорвекс Інкантія","1 л",original,"Фунгіцид","zorveks-inkantiya-korteva",183
2093,existing,"Косайд 2000 в.г.","Кортева","5кг","5 кг","Фунгiцид",17.42,14.52,15.97,USD,"Косайд 2000 в.г.","5 кг",original,"Фунгіцид","kosaid-2000-v-h-korteva",184
2094,existing,"Курзат Р 44","Кортева","10*1кг","1 кг","Фунгiцид",19.44,16.2,17.82,USD,"Курзат Р 44","1 кг",original,"Фунгіцид","kurzat-r-44-korteva",185
2095,existing,"Талендо","Кортева","10*1л","1 л","Фунгiцид",91.53,76.27,83.9,USD,"Талендо","1 л",original,"Фунгіцид","talendo-korteva",187
2096,existing,"Талiус","Кортева","10*1л","1 л","Фунгiцид",81.49,67.91,74.7,USD,"Талiус","1 л",original,"Фунгіцид","talius-korteva",186
2097,existing,"Танос 50вг","Кортева","4*2кг","2 кг","Фунгiцид",59.03,49.19,54.11,USD,"Танос 50вг","2 кг",original,"Фунгіцид","tanos-50vh-korteva",188
2116,existing,"Айріс, КЕ","Нуфарм","4*5л","5 л","Фунгiцид",11.07,9.23,10.15,USD,"Айріс, КЕ","5 л",original,"Фунгіцид","airis-ke-nufarm",452
2117,existing,"Джоуст Про","Нуфарм","4*5л","5 л","Фунгiцид",38.29,31.91,35.1,USD,"Джоуст Про","5 л",original,"Фунгіцид","dzhoust-pro-nufarm",424
2118,existing,"Купроксат","Нуфарм","2*10л","10 л","Фунгiцид",12.95,10.79,11.87,USD,"Купроксат","10 л",original,"Фунгіцид","kuproksat-nufarm",453
2119,existing,"Орбiт","Нуфарм","4*5л","5 л","Фунгiцид",16.46,13.72,15.09,USD,"Орбiт","5 л",original,"Фунгіцид","orbit-nufarm",454
2120,existing,"Орбiт Комбі","Нуфарм","комбіпак","комбіпак","Фунгiцид",489.15,407.63,448.39,USD,"Орбiт Комбі","комбіпак",original,"Фунгіцид","orbit-kombi-nufarm",455
2121,existing,"Протеб, КЕ","Нуфарм","4*5л","5 л","Фунгiцид",26.21,21.84,24.02,USD,"Протеб, КЕ","5 л",original,"Фунгіцид","proteb-ke-nufarm",451
2122,existing,"Сієста Екстра","Нуфарм","4*5л","5 л","Фунгiцид",32.18,26.82,29.5,USD,"Сієста Екстра","5 л",original,"Фунгіцид","siyesta-ekstra-nufarm",456
2123,existing,"Тейзер","Нуфарм","2*10л","10 л","Фунгiцид",33.11,27.59,30.35,USD,"Тейзер","10 л",original,"Фунгіцид","teizer-nufarm",457
2124,existing,"Чемп Ультра DP","Нуфарм","10кг","10 кг","Фунгiцид",18,15,16.5,USD,"Чемп Ультра DP","10 кг",original,"Фунгіцид","chemp-ultra-dp-nufarm",460
2125,existing,"Чемпiон, ВГ","Нуфарм","10кг","10 кг","Фунгiцид",21.31,17.76,19.54,USD,"Чемпiон, ВГ","10 кг",original,"Фунгіцид","chempion-vh-nufarm",462
2126,existing,"Чемпiон, ЗП","Нуфарм","10кг","10 кг","Фунгiцид",20.49,17.08,18.79,USD,"Чемпiон, ЗП","10 кг",original,"Фунгіцид","chempion-zp-nufarm",461
2127,existing,"Артемікс, КС","Самміт-Агро","2*10л","10 л","Фунгiцид",17.24,14.36,15.8,USD,"Артемікс, КС","10 л",original,"Фунгіцид","artemiks-ks-sammit-agro",578
2128,existing,"Глорі, ВГ","Самміт-Агро","15кг","15 кг","Фунгiцид",15.16,12.64,13.9,USD,"Глорі, ВГ","15 кг",original,"Фунгіцид","hlori-vh-sammit-agro",580
2129,existing,"Зепан, КС","Самміт-Агро","4*5л","5 л","Фунгiцид",41.47,34.56,38.02,USD,"Зепан, КС","5 л",original,"Фунгіцид","zepan-ks-sammit-agro",581
2130,existing,"Ікарус Турбо 430 ЕВ","Самміт-Агро","4*5л","5 л","Фунгiцид",19.83,16.52,18.17,USD,"Ікарус Турбо 430 ЕВ","5 л",original,"Фунгіцид","ikarus-turbo-430-ev-sammit-agro",582
2131,existing,"Каллатіс 280SC, КС","Самміт-Агро","4*5л","5 л","Фунгiцид",32.01,26.68,29.35,USD,"Каллатіс 280SC, КС","5 л",original,"Фунгіцид","kallatis-280sc-ks-sammit-agro",583
2132,existing,"Кармеліс, КС","Самміт-Агро","2*10л","10 л","Фунгiцид",31.75,26.46,29.11,USD,"Кармеліс, КС","10 л",original,"Фунгіцид","karmelis-ks-sammit-agro",584
2134,existing,"Медян Eкстра 350 SC","Самміт-Агро","4*5л","5 л","Фунгiцид",15.1,12.58,13.84,USD,"Медян Eкстра 350 SC","5 л",original,"Фунгіцид","medyan-ekstra-350-sc-sammit-agro",589
2135,existing,"Мігіва, КС","Самміт-Агро","0,5 пляш","0,5 пляш","Фунгiцид",479.52,399.6,439.56,USD,"Мігіва, КС","0,5пляш",original,"Фунгіцид","mihiva-ks-sammit-agro",591
2136,existing,"Мiлдiкат 25, КС","Самміт-Агро","2*10л","10 л","Фунгiцид",14.77,12.31,13.54,USD,"Мiлдiкат 25, КС","10 л",original,"Фунгіцид","mildikat-25-ks-sammit-agro",585
2137,existing,"Наутіл, ВГ","Самміт-Агро","5кг пак","5кг пак","Фунгiцид",13.61,11.34,12.47,USD,"Наутіл, ВГ","5кгпак",original,"Фунгіцид","nautil-vh-sammit-agro",592
2138,existing,"Парад, КС","Самміт-Агро","12*1л","1 л","Фунгiцид",307.15,255.96,281.56,USD,"Парад, КС","1 л",original,"Фунгіцид","parad-ks-sammit-agro",593
2139,existing,"Ранман ТОП, КС","Самміт-Агро","12*1л","1 л","Фунгiцид",85.54,71.28,78.41,USD,"Ранман ТОП, КС","1 л",original,"Фунгіцид","ranman-top-ks-sammit-agro",594
2140,existing,"Топсин М 500, КС","Самміт-Агро","12*1л","1 л","Фунгiцид",17.3,14.42,15.86,USD,"Топсин М 500, КС","1 л",original,"Фунгіцид","topsyn-m-500-ks-sammit-agro",597
2142,existing,"Ультіма 250","Самміт-Агро","4*5л","5 л","Фунгiцид",31.49,26.24,28.86,USD,"Ультіма 250","5 л",original,"Фунгіцид","ultima-250-sammit-agro",598
2143,existing,"Хансі, КС","Самміт-Агро","4*5л","5 л","Фунгiцид",31.1,25.92,28.51,USD,"Хансі, КС","5 л",original,"Фунгіцид","khansi-ks-sammit-agro",595
2144,existing,"Ютака СЕ","Самміт-Агро","2*10л","10 л","Фунгiцид",30.72,25.6,28.16,USD,"Ютака СЕ","10 л",original,"Фунгіцид","yutaka-se-sammit-agro",599
2145,existing,"Ямато СЕ","Самміт-Агро","4*5л","5 л","Фунгiцид",20.61,17.17,18.89,USD,"Ямато СЕ","5 л",original,"Фунгіцид","yamato-se-sammit-agro",600
